RegionID,RegionName
102001,United States
394913,"New York, NY"
753899,"Los Angeles, CA"
394463,"Chicago, IL"
394514,"Dallas, TX"
394692,"Houston, TX"
395209,"Washington, DC"
394974,"Philadelphia, PA"
394856,"Miami, FL"
394347,"Atlanta, GA"
394404,"Boston, MA"
394976,"Phoenix, AZ"
395057,"San Francisco, CA"
395025,"Riverside, CA"
394532,"Detroit, MI"
395078,"Seattle, WA"
394865,"Minneapolis, MN"
395056,"San Diego, CA"
395148,"Tampa, FL"
394530,"Denver, CO"
394358,"Baltimore, MD"
395121,"St. Louis, MO"
394943,"Orlando, FL"
394458,"Charlotte, NC"
395055,"San Antonio, TX"
394998,"Portland, OR"
395045,"Sacramento, CA"
394982,"Pittsburgh, PA"
394466,"Cincinnati, OH"
394355,"Austin, TX"
394775,"Las Vegas, NV"
394735,"Kansas City, MO"
394492,"Columbus, OH"
394705,"Indianapolis, IN"
394475,"Cleveland, OH"
395059,"San Jose, CA"
394902,"Nashville, TN"
395194,"Virginia Beach, VA"
395005,"Providence, RI"
394714,"Jacksonville, FL"
394862,"Milwaukee, WI"
394935,"Oklahoma City, OK"
395012,"Raleigh, NC"
394849,"Memphis, TN"
395022,"Richmond, VA"
394807,"Louisville, KY"
394910,"New Orleans, LA"
395053,"Salt Lake City, UT"
394669,"Hartford, CT"
394425,"Buffalo, NY"
394388,"Birmingham, AL"
395031,"Rochester, NY"
394640,"Grand Rapids, MI"
395167,"Tucson, AZ"
753924,"Urban Honolulu, HI"
395169,"Tulsa, OK"
394619,"Fresno, CA"
395238,"Worcester, MA"
394938,"Omaha, NE"
394415,"Bridgeport, CT"
394653,"Greenville, SC"
394312,"Albuquerque, NM"
394357,"Bakersfield, CA"
394308,"Albany, NY"
394753,"Knoxville, TN"
394367,"Baton Rouge, LA"
394843,"McAllen, TX"
394908,"New Haven, CT"
394561,"El Paso, TX"
394318,"Allentown, PA"
394952,"Oxnard, CA"
394486,"Columbia, SC"
753906,"North Port, FL"
394457,"Charleston, SC"
394648,"Greensboro, NC"
395134,"Stockton, CA"
394440,"Cape Coral, FL"
394399,"Boise City, ID"
394484,"Colorado Springs, CO"
394798,"Little Rock, AR"
394766,"Lakeland, FL"
394304,"Akron, OH"
394531,"Des Moines, IA"
395115,"Springfield, MA"
394931,"Ogden, UT"
394816,"Madison, WI"
395235,"Winston, NC"
394528,"Deltona, FL"
395143,"Syracuse, NY"
395006,"Provo, UT"
395160,"Toledo, OH"
395224,"Wichita, KS"
394549,"Durham, NC"
394352,"Augusta, GA"
394957,"Palm Bay, FL"
394711,"Jackson, MS"
394666,"Harrisburg, PA"
395113,"Spokane, WA"
395075,"Scranton, PA"
394460,"Chattanooga, TN"
394871,"Modesto, CA"
394768,"Lancaster, PA"
394997,"Portland, ME"
395245,"Youngstown, OH"
394770,"Lansing, MI"
394590,"Fayetteville, AR"
394589,"Fayetteville, NC"
394792,"Lexington, KY"
394971,"Pensacola, FL"
395068,"Santa Rosa, CA"
395019,"Reno, NV"
394698,"Huntsville, AL"
394995,"Port St. Lucie, FL"
394761,"Lafayette, LA"
394898,"Myrtle Beach, SC"
395116,"Springfield, MO"
395195,"Visalia, CA"
394746,"Killeen, TX"
394338,"Asheville, NC"
395244,"York, PA"
395183,"Vallejo, CA"
753917,"Santa Maria, CA"
395050,"Salinas, CA"
395048,"Salem, OR"
394870,"Mobile, AL"
395015,"Reading, PA"
394502,"Corpus Christi, TX"
394421,"Brownsville, TX"
394820,"Manchester, NH"
394612,"Fort Wayne, IN"
394658,"Gulfport, MS"
395051,"Salisbury, MD"
394596,"Flint, MI"
394972,"Peoria, IL"
394439,"Canton, OH"
395070,"Savannah, GA"
394327,"Anchorage, AK"
394372,"Beaumont, TX"
395096,"Shreveport, LA"
395164,"Trenton, NJ"
394875,"Montgomery, AL"
394520,"Davenport, IA"
395146,"Tallahassee, FL"
394576,"Eugene, OR"
394901,"Naples, FL"
394332,"Ann Arbor, MI"
394927,"Ocala, FL"
394679,"Hickory, NC"
394697,"Huntington, WV"
394602,"Fort Collins, CO"
395033,"Rockford, IL"
394796,"Lincoln, NE"
394622,"Gainesville, FL"
394405,"Boulder, CO"
394646,"Green Bay, WI"
394488,"Columbus, GA"
395107,"South Bend, IN"
395109,"Spartanburg, SC"
394645,"Greeley, CO"
394808,"Lubbock, TX"
394471,"Clarksville, TN"
395028,"Roanoke, VA"
394579,"Evansville, IN"
394747,"Kingsport, TN"
394741,"Kennewick, WA"
395179,"Utica, NY"
394660,"Hagerstown, MD"
394543,"Duluth, MN"
394937,"Olympia, WA"
394803,"Longview, TX"
395229,"Wilmington, NC"
395061,"San Luis Obispo, CA"
753875,"Crestview, FL"
394851,"Merced, CA"
395197,"Waco, TX"
394447,"Cedar Rapids, IA"
394348,"Atlantic City, NJ"
394412,"Bremerton, WA"
395103,"Sioux Falls, SD"
395065,"Santa Cruz, CA"
394572,"Erie, PA"
394924,"Norwich, CT"
394323,"Amarillo, TX"
394772,"Laredo, TX"
395171,"Tuscaloosa, AL"
394483,"College Station, TX"
394732,"Kalamazoo, MI"
394811,"Lynchburg, VA"
394455,"Charleston, WV"
395240,"Yakima, WA"
394585,"Fargo, ND"
394387,"Binghamton, NY"
394609,"Fort Smith, AR"
394334,"Appleton, WI"
395161,"Topeka, KS"
394813,"Macon, GA"
395174,"Tyler, TX"
394361,"Barnstable Town, MA"
394519,"Daphne, AL"
394378,"Bellingham, WA"
394429,"Burlington, VT"
395030,"Rochester, MN"
753895,"Lafayette, IN"
394454,"Champaign, IL"
394848,"Medford, OR"
394459,"Charlottesville, VA"
394763,"Lake Charles, LA"
394773,"Las Cruces, NM"
394464,"Chico, CA"
394681,"Hilton Head Island, SC"
394346,"Athens, GA"
394765,"Lake Havasu City, AZ"
394485,"Columbia, MO"
395114,"Springfield, IL"
394691,"Houma, LA"
394872,"Monroe, LA"
394565,"Elkhart, IN"
394726,"Johnson City, TN"
395247,"Yuma, AZ"
394623,"Gainesville, GA"
394716,"Jacksonville, NC"
394597,"Florence, SC"
394680,"Hilo, HI"
395118,"St. Cloud, MN"
395011,"Racine, WI"
394380,"Bend, OR"
395047,"Saginaw, MI"
395202,"Warner Robins, GA"
395151,"Terre Haute, IN"
395162,"Torrington, CT"
395009,"Punta Gorda, FL"
394386,"Billings, MT"
395018,"Redding, CA"
394748,"Kingston, NY"
394960,"Panama City, FL"
394729,"Joplin, MO"
394539,"Dover, DE"
394559,"El Centro, CA"
394712,"Jackson, TN"
395246,"Yuba City, CA"
394406,"Bowling Green, KY"
395119,"St. George, UT"
394896,"Muskegon, MI"
394299,"Abilene, TX"
394707,"Iowa City, IA"
394351,"Auburn, AL"
394860,"Midland, TX"
394671,"Hattiesburg, MS"
753869,"Bloomington, IL"
394944,"Oshkosh, WI"
394555,"Eau Claire, WI"
394651,"Greenville, NC"
394428,"Burlington, NC"
395210,"Waterloo, IA"
394480,"Coeur d'Alene, ID"
394553,"East Stroudsburg, PA"
395007,"Pueblo, CO"
394392,"Blacksburg, VA"
395215,"Wausau, WI"
394731,"Kahului, HI"
394720,"Janesville, WI"
395170,"Tupelo, MS"
394393,"Bloomington, IN"
394930,"Odessa, TX"
394710,"Jackson, MI"
395125,"State College, PA"
395079,"Sebastian, FL"
394814,"Madera, CA"
394523,"Decatur, AL"
394453,"Chambersburg, PA"
395193,"Vineland, NJ"
394703,"Idaho Falls, ID"
394639,"Grand Junction, CO"
394563,"Elizabethtown, KY"
394917,"Niles, MI"
394873,"Monroe, MI"
395066,"Santa Fe, NM"
394493,"Concord, NH"
394314,"Alexandria, LA"
395163,"Traverse City, MI"
394359,"Bangor, ME"
394685,"Homosassa Springs, FL"
394662,"Hanford, CA"
394723,"Jefferson City, MO"
394598,"Florence, AL"
394537,"Dothan, AL"
394802,"London, KY"
394306,"Albany, GA"
395102,"Sioux City, IA"
395223,"Wichita Falls, TX"
395152,"Texarkana, TX"
395182,"Valdosta, GA"
394800,"Logan, UT"
394595,"Flagstaff, AZ"
395036,"Rocky Mount, NC"
395000,"Pottsville, PA"
394515,"Dalton, GA"
394783,"Lebanon, PA"
394880,"Morristown, TN"
395232,"Winchester, VA"
395221,"Wheeling, WV"
394879,"Morgantown, WV"
394756,"La Crosse, WI"
394900,"Napa, CA"
395013,"Rapid City, SD"
395139,"Sumter, SC"
394577,"Eureka, CA"
395117,"Springfield, OH"
394668,"Harrisonburg, VA"
394368,"Battle Creek, MI"
395094,"Sherman, TX"
394821,"Manhattan, KS"
394442,"Carbondale, IL"
394727,"Johnstown, PA"
394728,"Jonesboro, AR"
394390,"Bismarck, ND"
394661,"Hammond, LA"
394983,"Pittsfield, MA"
394890,"Mount Vernon, WA"
394719,"Jamestown, NY"
395153,"The Villages, FL"
394307,"Albany, OR"
394633,"Glens Falls, NY"
394780,"Lawton, OK"
394474,"Cleveland, TN"
395098,"Sierra Vista, AZ"
394325,"Ames, IA"
394824,"Mansfield, OH"
395128,"Staunton, VA"
394353,"Augusta, ME"
394321,"Altoona, PA"
394905,"New Bern, NC"
394588,"Farmington, NM"
395120,"St. Joseph, MO"
395054,"San Angelo, TX"
395218,"Wenatchee, WA"
394949,"Owensboro, KY"
753890,"Holland, MI"
394810,"Lumberton, NC"
394778,"Lawrence, KS"
394635,"Goldsboro, NC"
395213,"Watertown, NY"
395089,"Sheboygan, WI"
395217,"Weirton, WV"
394867,"Missoula, MT"
394407,"Bozeman, MT"
394333,"Anniston, AL"
394374,"Beckley, WV"
395225,"Williamsport, PA"
394423,"Brunswick, GA"
395173,"Twin Falls, ID"
753872,"California, MD"
394495,"Cookeville, TN"
394893,"Muncie, IN"
394857,"Michigan City, IN"
395039,"Roseburg, OR"
394788,"Lewiston, ME"
394804,"Longview, WA"
394932,"Ogdensburg, NY"
394734,"Kankakee, IL"
394396,"Bluefield, WV"
395095,"Show Low, AZ"
395023,"Richmond, KY"
395168,"Tullahoma, TN"
395222,"Whitewater, WI"
394709,"Ithaca, NY"
394637,"Grand Forks, ND"
394524,"Decatur, IL"
394762,"LaGrange, GA"
394369,"Bay City, MI"
394599,"Fond du Lac, WI"
394630,"Gettysburg, PA"
394620,"Gadsden, AL"
394733,"Kalispell, MT"
394518,"Danville, VA"
394823,"Mankato, MN"
394794,"Lima, OH"
753915,"Salem, OH"
395166,"Truckee, CA"
395080,"Sebring, FL"
394462,"Cheyenne, WY"
394689,"Hot Springs, AR"
394302,"Adrian, MI"
395090,"Shelby, NC"
394542,"Dubuque, IA"
394852,"Meridian, MS"
753912,"Pinehurst, NC"
394953,"Paducah, KY"
395190,"Victoria, TX"
395038,"Rome, GA"
395086,"Sevierville, TN"
394882,"Moses Lake, WA"
394340,"Ashtabula, OH"
394441,"Cape Girardeau, MO"
394311,"Albertville, AL"
394580,"Fairbanks, AK"
394410,"Brainerd, MN"
394513,"Cumberland, MD"
394928,"Ocean City, NJ"
394505,"Corvallis, OR"
394988,"Pocatello, ID"
394501,"Corning, NY"
394911,"New Philadelphia, OH"
395140,"Sunbury, PA"
395175,"Ukiah, CA"
753887,"Hermiston, OR"
394469,"Clarksburg, WV"
394964,"Parkersburg, WV"
394373,"Beaver Dam, WI"
394980,"Pine Bluff, AR"
394641,"Grants Pass, OR"
394511,"Cullman, AL"
394809,"Lufkin, TX"
395248,"Zanesville, OH"
394907,"New Castle, PA"
394925,"Oak Harbor, WA"
394942,"Orangeburg, SC"
395212,"Watertown, WI"
394847,"Meadville, PA"
394568,"Elmira, NY"
394644,"Great Falls, MT"
395042,"Russellville, AR"
394704,"Indiana, PA"
394859,"Midland, MI"
394755,"Kokomo, IN"
394395,"Bloomsburg, PA"
394941,"Opelousas, LA"
394675,"Helena, MT"
394744,"Key West, FL"
395145,"Talladega, AL"
395133,"Stillwater, OK"
394489,"Columbus, IN"
394345,"Athens, TX"
394452,"Centralia, WA"
394822,"Manitowoc, WI"
394682,"Hinesville, GA"
394541,"DuBois, PA"
395205,"Warsaw, IN"
395126,"Statesboro, GA"
394445,"Casper, WY"
395231,"Wilson, NC"
753881,"Glenwood Springs, CO"
395085,"Seneca, SC"
394866,"Minot, ND"
394936,"Olean, NY"
395077,"Searcy, AR"
394638,"Grand Island, NE"
394994,"Port Angeles, WA"
394350,"Auburn, NY"
394699,"Huntsville, TX"
394738,"Keene, NH"
394674,"Heber, UT"
395010,"Quincy, IL"
395062,"Sandusky, OH"
394593,"Findlay, OH"
394614,"Frankfort, KY"
394516,"Danville, IL"
394298,"Aberdeen, WA"
753928,"Wisconsin Rapids, WI"
753893,"Jefferson, GA"
394736,"Kapaa, HI"
394955,"Palatka, FL"
394683,"Hobbs, NM"
395088,"Shawnee, OK"
394884,"Mount Airy, NC"
395132,"Stevens Point, WI"
394647,"Greeneville, TN"
394655,"Greenwood, SC"
394764,"Lake City, FL"
394752,"Klamath Falls, OR"
394877,"Morehead City, NC"
394472,"Clearlake, CA"
394305,"Alamogordo, NM"
395027,"Roanoke Rapids, NC"
394587,"Farmington, MO"
394897,"Muskogee, OK"
394826,"Marion, IN"
394586,"Faribault, MN"
395021,"Richmond, IN"
394829,"Marquette, MI"
394885,"Mount Pleasant, MI"
394827,"Marion, OH"
394360,"Baraboo, WI"
395016,"Red Bluff, CA"
394825,"Marinette, WI"
395040,"Roswell, NM"
395092,"Shelton, WA"
394540,"Dublin, GA"
394899,"Nacogdoches, TX"
395105,"Somerset, KY"
394496,"Coos Bay, OR"
394600,"Forest City, NC"
394836,"Martinsville, VA"
395020,"Rexburg, ID"
394787,"Lewiston, ID"
394759,"Laconia, NH"
394629,"Georgetown, SC"
394343,"Athens, OH"
395063,"Sanford, NC"
394570,"Enid, OK"
394889,"Mount Vernon, OH"
395199,"Walla Walla, WA"
394309,"Albemarle, NC"
394701,"Hutchinson, KS"
394693,"Hudson, NY"
395124,"Starkville, MS"
394443,"Carlsbad, NM"
394631,"Gillette, WY"
395044,"Rutland, VT"
394509,"Crossville, TN"
395049,"Salina, KS"
753903,"Marietta, OH"
394591,"Fergus Falls, MN"
394362,"Barre, VT"
394939,"Oneonta, NY"
394490,"Columbus, MS"
394365,"Batavia, NY"
394336,"Ardmore, OK"
394956,"Palestine, TX"
394456,"Charleston, IL"
394592,"Fernley, NV"
394444,"Carson City, NV"
394551,"Eagle Pass, TX"
394432,"Calhoun, GA"
753877,"Cullowhee, NC"
394737,"Kearney, NE"
394582,"Fairmont, WV"
394940,"Ontario, OR"
394621,"Gaffney, SC"
395131,"Sterling, IL"
394411,"Branson, MO"
394446,"Cedar City, UT"
395216,"Waycross, GA"
394951,"Oxford, MS"
394556,"Edwards, CO"
394547,"Durango, CO"
394750,"Kinston, NC"
753920,"Sonora, CA"
394366,"Batesville, AR"
394566,"Elko, NV"
394517,"Danville, KY"
394632,"Glasgow, KY"
395122,"St. Marys, GA"
394402,"Boone, NC"
395204,"Warrensburg, MO"
394604,"Fort Leonard Wood, MO"
394993,"Poplar Bluff, MO"
394562,"Elizabeth City, NC"
394967,"Payson, AZ"
394344,"Athens, TN"
394571,"Enterprise, AL"
394339,"Ashland, OH"
395073,"Scottsboro, AL"
394861,"Milledgeville, GA"
394742,"Kerrville, TX"
394363,"Bartlesville, OK"
394985,"Platteville, WI"
394503,"Corsicana, TX"
395029,"Rochelle, IL"
394538,"Douglas, GA"
394933,"Oil City, PA"
394838,"Mason City, IA"
394717,"Jacksonville, TX"
394625,"Galesburg, IL"
394954,"Pahrump, NV"
394963,"Paris, TX"
395234,"Winona, MN"
753905,"Newport, OR"
394878,"Morgan City, LA"
395091,"Shelbyville, TN"
394326,"Amsterdam, NY"
753911,"Ozark, AL"
394316,"Alice, TX"
394628,"Gardnerville Ranchos, NV"
394608,"Fort Polk South, LA"
394437,"Ca-Â¦on City, CO"
394906,"New Castle, IN"
394478,"Clovis, NM"
394919,"Norfolk, NE"
395043,"Ruston, LA"
395097,"Sidney, OH"
395008,"Pullman, WA"
394527,"Del Rio, TX"
394391,"Blackfoot, ID"
395017,"Red Wing, MN"
394918,"Nogales, AZ"
395144,"Tahlequah, OK"
394876,"Montrose, CO"
394504,"Cortland, NY"
394477,"Clinton, IA"
753916,"Sandpoint, ID"
753865,"Bardstown, KY"
394379,"Bemidji, MN"
394377,"Bellefontaine, OH"
394426,"Burley, ID"
394548,"Durant, OK"
394500,"Cornelia, GA"
753889,"Hillsdale, MI"
395155,"Thomasville, GA"
394961,"Paragould, AR"
394427,"Burlington, IA"
394850,"Menomonie, WI"
394375,"Bedford, IN"
395208,"Washington, NC"
394616,"Freeport, IL"
395037,"Rolla, MO"
394482,"Coldwater, MI"
753904,"Marion, NC"
394567,"Ellensburg, WA"
394990,"Ponca City, OK"
394842,"McAlester, OK"
394886,"Mount Pleasant, TX"
394895,"Muscatine, IA"
394785,"Lewisburg, PA"
394349,"Auburn, IN"
394545,"Duncan, OK"
395081,"Sedalia, MO"
394448,"Cedartown, GA"
394677,"Henderson, NC"
394297,"Aberdeen, SD"
395032,"Rock Springs, WY"
395129,"Stephenville, TX"
394558,"El Campo, TX"
394891,"Mountain Home, AR"
394624,"Gainesville, TX"
395158,"Tifton, GA"
394845,"McMinnville, TN"
394341,"Astoria, OR"
394384,"Big Rapids, MI"
394354,"Austin, MN"
395082,"Selinsgrove, PA"
395219,"West Plains, MO"
394934,"Okeechobee, FL"
394690,"Houghton, MI"
394881,"Moscow, ID"
394476,"Clewiston, FL"
395026,"Riverton, WY"
394981,"Pittsburg, KS"
394663,"Hannibal, MO"
394315,"Alexandria, MN"
394434,"Cambridge, OH"
395227,"Williston, ND"
395099,"Sikeston, MO"
394715,"Jacksonville, IL"
394300,"Ada, OK"
394422,"Brownwood, TX"
394507,"Crawfordsville, IN"
394914,"Newberry, SC"
394799,"Lock Haven, PA"
394451,"Centralia, IL"
394554,"Easton, MD"
394888,"Mount Vernon, IL"
394771,"Laramie, WY"
394894,"Murray, KY"
394617,"Fremont, NE"
394382,"Bennington, VT"
394550,"Dyersburg, TN"
394745,"Kill Devil Hills, NC"
395137,"Sulphur Springs, TX"
394522,"DeRidder, LA"
394370,"Bay City, TX"
394920,"North Platte, NE"
394781,"Lebanon, MO"
394915,"Newport, TN"
395191,"Vidalia, GA"
394413,"Brenham, TX"
395187,"Vernal, UT"
394430,"Butte, MT"
394569,"Emporia, KS"
394713,"Jackson, WY"
394385,"Big Spring, TX"
395211,"Watertown, SD"
395149,"Taos, NM"
394419,"Brookings, SD"
394324,"Americus, GA"
394335,"Arcadia, FL"
394786,"Lewisburg, TN"
394533,"Dickinson, ND"
395207,"Washington, IN"
395165,"Troy, AL"
394815,"Madison, IN"
394414,"Brevard, NC"
395141,"Susanville, CA"
394835,"Martin, TN"
394433,"Cambridge, MD"
394481,"Coffeyville, KS"
394383,"Berlin, NH"
394749,"Kingsville, TX"
753871,"Breckenridge, CO"
394310,"Albert Lea, MN"
395093,"Sheridan, WY"
394855,"Miami, OK"
394846,"McPherson, KS"
394751,"Kirksville, MO"
753901,"Ludington, MI"
394606,"Fort Morgan, CO"
753926,"Weatherford, OK"
394892,"Mountain Home, ID"
394864,"Mineral Wells, TX"
395100,"Silver City, NM"
394508,"Crescent City, CA"
394615,"Fredericksburg, TX"
395159,"Toccoa, GA"
753923,"The Dalles, OR"
394758,"La Grande, OR"
394643,"Great Bend, KS"
395110,"Spearfish, SD"
394584,"Fallon, NV"
394322,"Altus, OK"
753884,"Hailey, ID"
753921,"Steamboat Springs, CO"
395236,"Woodward, OK"
395004,"Prineville, OR"
394687,"Hood River, OR"
394868,"Mitchell, SD"
394418,"Brookings, OR"
394959,"Pampa, TX"
395130,"Sterling, CO"
394718,"Jamestown, ND"
394784,"Levelland, TX"
394403,"Borger, TX"
394996,"Portales, NM"
394805,"Los Alamos, NM"
395104,"Snyder, TX"
